iter	Passed	Remaining
0	9	9725
1	12	6338
2	15	5219
3	20	5191
4	23	4712
5	27	4476
6	29	4235
7	32	4044
8	39	4331
9	41	4110
10	43	3936
11	46	3790
12	49	3723
13	51	3648
14	56	3689
15	58	3590
16	60	3508
17	62	3435
18	69	3592
19	72	3568
20	77	3598
21	79	3533
22	81	3473
23	84	3428
24	86	3379
25	88	3328
26	91	3279
27	93	3239
28	95	3197
29	97	3162
30	99	3123
31	102	3094
32	104	3062
33	106	3030
34	108	3001
35	111	2974
36	113	2952
37	115	2926
38	118	2908
39	120	2885
40	123	2886
41	126	2885
42	129	2882
43	132	2878
44	135	2884
45	138	2874
46	143	2902
47	146	2895
48	148	2888
49	151	2878
50	154	2867
51	156	2858
52	161	2886
53	164	2889
54	168	2898
55	172	2904
56	175	2899
57	178	2898
58	181	2896
59	185	2909
60	189	2915
61	192	2910
62	197	2931
63	200	2927
64	203	2923
65	206	2920
66	209	2919
67	212	2916
68	215	2910
69	221	2942
70	225	2945
71	229	2954
72	232	2951
73	235	2951
74	238	2946
75	242	2950
76	246	2949
77	249	2943
78	251	2937
79	254	2931
80	257	2925
81	260	2921
82	264	2921
83	269	2939
84	272	2935
85	275	2929
86	278	2922
87	281	2914
88	283	2906
89	286	2898
90	289	2888
91	291	2875
92	293	2862
93	295	2851
94	298	2839
95	300	2826
96	302	2814
97	304	2802
98	306	2791
99	308	2780
100	311	2768
101	313	2757
102	315	2747
103	317	2737
104	319	2727
105	322	2716
106	324	2706
107	326	2697
108	328	2686
109	330	2678
110	333	2668
111	335	2659
112	338	2654
113	340	2648
114	343	2639
115	345	2631
116	347	2621
117	349	2613
118	351	2603
119	353	2595
120	356	2586
121	358	2578
122	360	2569
123	362	2561
124	368	2578
125	370	2572
126	374	2571
127	376	2563
128	378	2556
129	380	2548
130	383	2540
131	385	2532
132	387	2525
133	389	2518
134	391	2511
135	394	2504
136	396	2497
137	398	2489
138	400	2482
139	402	2475
140	405	2469
141	407	2462
142	409	2455
143	411	2448
144	414	2441
145	416	2434
146	418	2428
147	420	2422
148	422	2415
149	425	2408
150	427	2402
151	429	2395
152	431	2389
153	433	2382
154	436	2376
155	438	2370
156	440	2364
157	442	2358
158	444	2352
159	446	2346
160	449	2341
161	451	2336
162	453	2330
163	455	2324
164	458	2318
165	460	2313
166	462	2307
167	464	2302
168	467	2296
169	469	2290
170	471	2285
171	473	2280
172	476	2275
173	478	2270
174	480	2264
175	482	2260
176	484	2254
177	487	2249
178	489	2244
179	491	2239
180	493	2234
181	496	2230
182	498	2226
183	500	2221
184	503	2216
185	505	2212
186	507	2207
187	510	2202
188	512	2198
189	514	2193
190	516	2188
191	518	2183
192	521	2179
193	523	2174
194	525	2169
195	527	2164
196	529	2160
197	532	2155
198	534	2150
199	536	2146
200	538	2141
201	540	2137
202	543	2132
203	545	2128
204	547	2123
205	549	2119
206	551	2114
207	554	2110
208	556	2105
209	558	2101
210	560	2096
211	563	2092
212	565	2090
213	568	2088
214	570	2084
215	573	2080
216	575	2076
217	577	2072
218	579	2067
219	582	2064
220	584	2059
221	586	2055
222	588	2051
223	590	2047
224	593	2043
225	595	2038
226	597	2034
227	599	2030
228	601	2026
229	604	2022
230	606	2018
231	608	2014
232	610	2010
233	613	2006
234	615	2002
235	617	1998
236	619	1994
237	621	1990
238	625	1991
239	627	1986
240	629	1983
241	631	1979
242	634	1976
243	636	1970
244	638	1967
245	640	1963
246	644	1966
247	648	1965
248	650	1963
249	653	1961
250	658	1964
251	660	1961
252	663	1958
253	665	1956
254	668	1952
255	670	1949
256	673	1945
257	675	1942
258	678	1940
259	681	1938
260	683	1935
261	685	1932
262	688	1928
263	690	1924
264	692	1921
265	694	1917
266	697	1913
267	699	1910
268	701	1906
269	703	1903
270	706	1899
271	708	1896
272	710	1892
273	712	1888
274	715	1885
275	717	1881
276	719	1877
277	721	1874
278	723	1870
279	726	1867
280	730	1867
281	732	1864
282	734	1860
283	736	1857
284	738	1853
285	740	1849
286	743	1846
287	745	1842
288	747	1839
289	750	1836
290	752	1832
